Symbol;Interval;S.Pos;LOT(s);Open Time;Open Price;Close Time;Close Price;PIP P/L;Tot. $ P/L;Harvester ID;OpenDeals#;Closed by
EURJPY;34;Short;34;2013.10.07 04:08;131.7500;2013.10.11 12:18;133.5300;-178;-6148.8320;64(59) TR;7;Close all Deals(2) - Global
EURJPY;21;Long;21;2013.10.03 04:41;132.7500;2013.10.11 12:18;133.5300;78;1664.2080;64(59) TR;7;Close all Deals(2) - Global
EURJPY;21;Long;21;2013.10.03 04:39;132.6900;2013.10.11 12:18;133.5300;84;1792.2240;63(117) TR;6;Close all Deals(2) - Global
EURJPY;10/5 {T 105/35/2/1} [--/25];Short;10;2013.10.02 13:45;131.7500;2013.10.11 12:18;133.5300;-178;-1808.4800;64(59);7;Close all Deals(2) - Global
EURJPY;10/5 {T 105/35/2/1} [--/25];Short;10;2013.10.02 11:30;131.6900;2013.10.11 12:18;133.5300;-184;-1869.4400;63(117);6;Close all Deals(2) - Global
EURJPY;34;Short;34;2013.10.07 04:19;131.6900;2013.10.11 12:18;133.5300;-184;-6356.0960;63(117) TR;6;Close all Deals(2) - Global
EURJPY;Rgs.70;Long;Rgs.70;2013.10.10 16:54;132.6900;2013.10.11 12:18;133.5300;84;6050.8896;63(117) TR;6;Close all Deals(2) - Global
EURJPY;Rgs.70;Long;Rgs.70;2013.10.10 17:07;132.7500;2013.10.11 12:18;133.5300;78;5618.6832;64(59) TR;7;Close all Deals(2) - Global
EURJPY;21;Long;21;2013.10.10 16:10;132.5600;2013.10.11 12:18;133.5000;94;2005.5840;66(17) TR;9;All related deals after TR
EURJPY;10/5 {T 105/35/2/1} [--/25];Short;10;2013.10.08 20:01;131.5600;2013.10.11 12:18;133.5000;-194;-1971.0400;66(17);9;All related deals after TR
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.10.11 01:00;132.9500;2013.10.11 08:15;133.1700;22;223.5200;59(76);2;Close All Deals command
EURJPY;21;Long;21;2013.10.10 16:03;132.4700;2013.10.11 06:03;133.4000;93;1982.2950;67(8) TR;10;All related deals after TR
EURJPY;10/5 {T 105/35/2/1} [--/25];Short;10;2013.10.09 00:00;131.4700;2013.10.11 06:03;133.4000;-193;-1958.9500;67(8);10;All related deals after TR
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.10.11 00:40;132.8300;2013.10.11 04:44;133.2000;37;375.5500;58(156);1;Close all Deals(2)
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.10.10 19:50;132.7500;2013.10.10 22:45;132.8500;10;101.8000;58(155);1;Close All Deals command
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.10.10 17:30;132.6700;2013.10.10 19:35;132.7000;3;30.5700;58(154);1;Close All Deals command
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.10.10 11:31;132.1200;2013.10.10 17:07;132.7000;58;590.4400;59(75);2;Close all Deals(2)
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.10.09 07:55;132.1000;2013.10.10 13:25;132.2700;17;173.7400;58(152);1;Close All Deals command
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.10.08 16:40;131.9600;2013.10.09 07:40;132.0200;6;61.6200;58(151);1;Close All Deals command
EURJPY;10/5 {T 105/35/2/1} [--/25];Short;10;2013.10.03 00:00;132.1800;2013.10.08 00:40;131.1800;100;1034.0000;65(28);8;All related deals after TR
EURJPY;21;Long;21;2013.10.03 12:02;133.1800;2013.10.08 00:40;131.1800;-200;-4342.8000;65(28) TR;8;All related deals after TR
EURJPY;34;Short;34;2013.10.03 19:18;132.1800;2013.10.08 00:40;131.1800;100;3515.6000;65(28) TR;8;All related deals after TR
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.10.03 12:05;133.2100;2013.10.08 00:37;131.2700;-194;-2005.9600;58(150);1;All related deals after TR
EURJPY;21;Short;21;2013.10.03 19:08;132.2100;2013.10.08 00:37;131.2700;94;2041.1160;58(150) TR;1;All related deals after TR
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.10.03 10:10;132.9000;2013.10.03 11:55;132.9700;7;71.5400;58(149);1;Close All Deals command
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.10.03 07:20;132.9100;2013.10.03 08:40;132.9200;1;10.2300;58(148);1;Close All Deals command
EURJPY;10/5 {T 105/35/2/1} [--/25];Short;10;2013.10.02 03:00;132.4300;2013.10.02 10:04;131.7600;67;687.4200;65(27);8;Close all Deals(2) - Global
EURJPY;21;Short;21;2013.10.02 04:45;132.2300;2013.10.02 10:04;131.7600;47;1012.6620;58(147) TR;1;Close all Deals(2) - Global
EURJPY;10/5 {T 105/35/2/1} [--/25];Short;10;2013.10.02 07:00;132.1300;2013.10.02 10:04;131.7600;37;379.6200;64(58);7;Close all Deals(2) - Global
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.10.01 07:20;133.2300;2013.10.02 10:04;131.7600;-147;-1508.2200;58(147);1;Close all Deals(2) - Global
EURJPY;10/5 {T 105/35/2/1} [--/25];Short;10;2013.10.02 06:50;132.2200;2013.10.02 09:54;131.9600;26;266.2400;63(116);6;Close all Deals(2)
EURJPY;10/5 {T 105/35/2/1} [--/25];Short;10;2013.10.02 00:45;132.5200;2013.10.02 06:05;132.3800;14;142.9400;63(115);6;Close All Deals command
EURJPY;5/2 {T 105/35/2/1} [--/25];Long;5;2013.10.01 02:50;133.0800;2013.10.01 04:31;133.1000;2;10.1600;58(146);1;Limit filled
EURJPY;5/2 {T 105/35/2/1} [--/25];Short;5;2013.09.30 00:05;131.8500;2013.09.30 14:36;131.7100;14;71.6800;63(114);6;Close all Deals(2) - Global
EURJPY;5/2 {T 105/35/2/1} [--/25];Short;5;2013.09.30 08:45;132.1100;2013.09.30 14:36;131.7100;40;204.8000;64(57);7;Close all Deals(2) - Global
EURJPY;5/2 {T 105/35/2/1} [--/25];Short;5;2013.09.30 09:30;132.1500;2013.09.30 14:36;131.7100;44;225.2800;65(26);8;Close all Deals(2) - Global
EURJPY;5/2 {T 105/35/2/1} [--/25];Short;3;2013.09.24 17:20;132.9300;2013.09.30 00:02;131.8100;112;342.0480;63(113);6;Close all Deals(2) - Global
EURJPY;5/2 {T 105/35/2/1} [--/25];Short;5;2013.09.24 17:30;132.7900;2013.09.30 00:02;131.8100;98;498.8200;64(56);7;Close all Deals(2) - Global
EURJPY;06.Spl;Long;06.Spl;2013.09.26 05:32;133.7900;2013.09.30 00:02;131.8100;-198;-2136.5784;64(56) TR;7;Close all Deals(2) - Global
EURJPY;06.Spl;Long;06.Spl;2013.09.26 05:38;133.9300;2013.09.30 00:02;131.8100;-212;-2287.6496;63(113) TR;6;Close all Deals(2) - Global
EURJPY;5/2 {T 105/35/2/1} [--/25];Long;5;2013.09.26 08:01;133.6500;2013.09.30 00:02;131.8100;-184;-936.5600;62(13);5;Close all Deals(2) - Global
EURJPY;17.Kov;Short;17.Kov;2013.09.27 19:55;132.9300;2013.09.30 00:02;131.8100;112;1972.4768;63(113) TR;6;Close all Deals(2) - Global
EURJPY;17.Kov;Short;17.Kov;2013.09.27 20:34;132.7900;2013.09.30 00:02;131.8100;98;1725.9172;64(56) TR;7;Close all Deals(2) - Global
EURJPY;06.Spl;Short;06.Spl;2013.09.27 21:20;132.6500;2013.09.30 00:02;131.8100;84;906.4272;62(13) TR;5;Close all Deals(2) - Global
EURJPY;5/2 {T 105/35/2/1} [--/25];Long;5;2013.09.19 23:00;134.4900;2013.09.30 00:02;131.8100;-268;-1364.1200;60(47);3;Close all Deals(2) - Global
